Index,AvgBlockSize,BitcoinDaysDestroyed,BitcoinDaysDestroyedMinYear,CostPerTransactionPercent,CostPerTransaction,EstimatedTransactionVolumeUSD,EstimatedTransactionVolume,EuroPriceInUSD,MarketPrice,MedianConfirmationTime,OutputVolume,SP500.Close,SP500.Volume,TradeVolume,TransactionFeesUSD,TransactionFees,TxTradeRatio,WikipediaTrend,Y
57,58,-0.7871743436807328,-0.532502405347539,-0.276754326525458,-0.0272809914913551,-0.732719086878351,-0.610708093989111,-0.5549751193823089,-0.36348797003022604,-0.711431369178173,-1.10654491164431,-0.48245506242955394,-2.00356307943722,3.75812666698306,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
58,59,-0.787212808864595,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,-0.37839179050378496,-0.711431369178173,-1.10654491164431,-0.48264774662195103,-2.03247091919405,3.4440081565059,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
59,60,-0.787167585977121,-0.532467472977404,-0.276754326525458,-0.0275142995672545,-0.732719086878351,-0.610708093989111,-0.5547981739738311,-0.360693503691434,-0.711431369178173,-1.10654491164431,-0.482433653074843,-2.04383326255683,3.1901529770335,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
60,61,-0.7872138921206451,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,-0.41658283046728,-0.711431369178173,-1.10654491164431,-0.48260492791253,-2.0019772875437902,3.2706480746498503,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.314355802094498,-0.711431369178173
61,62,-0.7870760168255341,-0.532008215052386,-0.276754326525458,-0.0286032202529514,-0.732719086878351,-0.610708093989111,-0.5519670474381839,-0.41658283046728,-0.711431369178173,-1.10654491164431,-0.48206969404475897,-2.0787049262013,3.1224894193568598,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
62,63,-0.7871743567487509,-0.532554418619248,-0.276754326525458,-0.0273294139222063,-0.732719086878351,-0.610708093989111,-0.5547981739738311,-0.320639486168745,-0.711431369178173,-1.10654491164431,-0.48217674081831297,-2.07660448986381,2.96627249143836,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
63,64,-0.7872126614414449,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,-0.349515638336266,-0.711431369178173,-1.10654491164431,-0.482497881138976,-2.08238266006964,2.95009135272218,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
64,65,-0.7870762047194979,-0.5319594124764611,-0.276754326525458,-0.0287021401362462,-0.732719086878351,-0.610708093989111,-0.550728429578839,-0.37839179050378496,-0.711431369178173,-1.10654491164431,-0.48181278178822895,-2.088160830278,2.9339102139970805,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.313778388043855,-0.711431369178173
65,66,-0.7872132122162699,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,-0.407267942671307,-0.711431369178173,-1.10654491164431,-0.48245506242955394,-2.09393900048383,2.9177290752809,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31408634220419795,-0.711431369178173
66,67,-0.78721344722229,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,-0.20420338871906601,-0.711431369178173,-1.10654491164431,-0.48262633726723997,-1.98494643559379,4.1119449879131205,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.314047847934155,-0.711431369178173
67,68,-0.7872128431060029,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,-0.20140892238027397,-0.711431369178173,-1.10654491164431,-0.48256210920310794,-1.9804925667478501,2.92707043065759,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31397085939407005,-0.711431369178173
68,69,-0.78719570528073,-0.532603606478667,-0.276754326525458,-0.0242993436283658,-0.732719086878351,-0.610708093989111,-0.5556829010162211,-0.20513487749866396,-0.711431369178173,-1.10654491164431,-0.482283787591867,-1.90614369184832,2.96164170971563,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.314201825014327,-0.711431369178173
69,70,-0.7871486846172709,-0.532319652543484,-0.276754326525458,-0.0282107021636025,-0.732719086878351,-0.610708093989111,-0.5535595561144859,-0.0905617576081796,-0.711431369178173,-1.10654491164431,-0.48211251275418104,-1.8914409436878503,2.4811617721564,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.313585916693641,-0.711431369178173
70,71,-0.7872128216165679,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,-0.0480237699755144,-0.711431369178173,-1.10654491164431,-0.482390834365421,-1.89368471457769,2.8066375716594796,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.314124836474241,-0.711431369178173
71,72,-0.7872135709673059,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,-0.005485782435996071,-0.711431369178173,-1.10654491164431,-0.482497881138976,-1.89592848546501,3.1321133711536495,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.313893870853984,-0.711431369178173
72,73,-0.7870088416931379,-0.530207656856427,-0.276754326525458,-0.0288136347949544,-0.732719086878351,-0.610708093989111,-0.547720357634714,0.0370522051966691,-0.711431369178173,-1.10654491164431,-0.481063454373351,-1.8981722563548502,3.45758917065673,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.313893870853984,-0.711431369178173
